Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
43.834,424.291,-14.557,-0.049,14.557,0.076,-197.828,-0.01,197.828,-179.997,7.408,0.058,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.395e5,0,5.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.307e-5,NaN,NaN,NaN,NaN,7.502,57.466,997.876,1115.067,0.405,0.262
44.176,419.393,-14.131,0.039,14.131,0.047,-200.309,-0.01,200.309,-179.997,7.125,0.026,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.295e5,0,6.262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.696e-5,NaN,NaN,NaN,NaN,7.048,57.487,998.082,1115.09,0.341,0.262
44.676,412.244,-14.468,-0.021,14.468,0.031,-203.781,-0.01,203.781,-179.997,6.762,0.023,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.375e5,0,5.901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.485e-5,NaN,NaN,NaN,NaN,6.799,57.504,998.258,1115.109,0.5,0.262
45.176,405.117,-14.037,0.027,14.037,0.044,-207.304,-0.01,207.304,-179.997,7.33,0.035,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.274e5,0,6.191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.522e-5,NaN,NaN,NaN,NaN,7.261,57.53,998.513,1115.138,0.5,0.262
45.676,397.963,-14.579,-0.034,14.579,0.035,-211.011,-0.01,211.011,-179.997,7.498,0.01,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.402e5,0,5.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.499e-5,NaN,NaN,NaN,NaN,7.482,57.555,998.768,1115.166,0.5,0.263
46.176,390.845,-13.896,0.042,13.896,0.043,-214.727,-0.01,214.727,-179.997,7.367,0.008,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.243e5,0,6.282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.724e-5,NaN,NaN,NaN,NaN,7.385,57.581,999.024,1115.194,0.5,0.263
46.676,383.685,-14.742,-0.053,14.742,0.053,-218.38,-0.01,218.38,-179.997,7.244,0.008,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.012,3.441e5,0,5.708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.46e-5,NaN,NaN,NaN,NaN,7.256,57.606,999.278,1115.222,0.5,0.263
47.075,377.978,-13.883,0.067,13.883,0.077,-221.365,-0.01,221.365,-179.997,7.726,0.038,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.241e5,0,6.434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.723e-5,NaN,NaN,NaN,NaN,7.765,57.632,999.534,1115.25,0.399,0.263
47.375,373.729,-14.403,-0.054,14.403,0.059,-223.651,-0.01,223.651,-179.997,7.497,0.024,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.012,3.363e5,0,5.703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.541e-5,NaN,NaN,NaN,NaN,7.379,57.652,999.738,1115.273,0.3,0.264
47.786,367.861,-14.163,0.018,14.163,0.018,-226.722,-0.01,226.722,-179.997,7.448,0.004,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.307e5,0,6.135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.663e-5,NaN,NaN,NaN,NaN,7.446,57.667,999.89,1115.289,0.411,0.264
48.286,360.718,-14.408,-0.015,14.408,0.018,-230.41,-0.011,230.41,-179.997,7.306,0.009,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.365e5,0,5.934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.57e-5,NaN,NaN,NaN,NaN,7.322,57.688,1000.1,1115.312,0.5,0.264
48.786,353.612,-14.017,0.024,14.019,0.105,-233.652,-0.011,233.652,-179.997,5.662,0.102,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.274e5,0,6.203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.621e-5,NaN,NaN,NaN,NaN,5.867,57.714,1000.355,1115.341,0.5,0.264
49.286,346.465,-14.577,-0.035,14.577,0.04,-236.406,-0.011,236.406,-179.997,5.357,0.019,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.405e5,0,5.817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.14e-5,NaN,NaN,NaN,NaN,5.387,57.739,1000.609,1115.369,0.5,0.264
49.786,339.354,-13.864,0.044,13.865,0.057,-239.228,-0.011,239.228,-179.997,5.93,0.036,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.239e5,0,6.297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.289e-5,NaN,NaN,NaN,NaN,5.856,57.764,1000.865,1115.397,0.5,0.265
50.284,332.228,-14.753,-0.055,14.753,0.057,-242.232,-0.011,242.232,-179.997,6.134,0.013,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.012,3.447e5,0,5.692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.137e-5,NaN,NaN,NaN,NaN,6.118,57.79,1001.119,1115.425,0.498,0.265
50.69,326.42,-13.845,0.069,13.845,0.07,-244.743,-0.011,244.743,-179.997,6.227,0.007,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.236e5,0,6.445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.496e-5,NaN,NaN,NaN,NaN,6.233,57.815,1001.374,1115.453,0.406,0.265
51,322.036,-14.415,-0.057,14.416,0.067,-246.62,-0.011,246.62,-179.997,5.873,0.035,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.012,3.37e5,0,5.685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.191e-5,NaN,NaN,NaN,NaN,5.706,57.836,1001.581,1115.476,0.31,0.265
51.324,317.402,-14.19,0.022,14.19,0.031,-248.56,-0.011,248.56,-179.997,6.105,0.022,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.317e5,0,6.158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.324e-5,NaN,NaN,NaN,NaN,6.188,57.852,1001.738,1115.493,0.324,0.265
51.824,310.266,-14.353,-0.01,14.353,0.012,-251.59,-0.011,251.59,-179.997,6.014,0.006,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.356e5,0,5.965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.288e-5,NaN,NaN,NaN,NaN,6.025,57.868,1001.904,1115.511,0.5,0.266
52.324,303.144,-14.138,0.013,14.138,0.032,-254.716,-0.011,254.716,-179.997,6.49,0.03,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.306e5,0,6.109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.329e-5,NaN,NaN,NaN,NaN,6.434,57.894,1002.159,1115.539,0.5,0.266
52.824,296.007,-14.41,-0.017,14.41,0.018,-257.932,-0.011,257.932,-179.997,6.374,0.007,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.37e5,0,5.924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.349e-5,NaN,NaN,NaN,NaN,6.387,57.919,1002.413,1115.567,0.5,0.266
53.324,288.897,-14.029,0.024,14.029,0.073,-261.396,-0.011,261.396,-179.997,7.482,0.069,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.282e5,0,6.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.421e-5,NaN,NaN,NaN,NaN,7.346,57.944,1002.668,1115.596,0.5,0.266
53.822,281.783,-14.533,-0.031,14.533,0.036,-265.054,-0.012,265.054,-179.997,7.205,0.017,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.4e5,0,5.837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.532e-5,NaN,NaN,NaN,NaN,7.232,57.97,1002.923,1115.624,0.498,0.266
54.322,274.677,-13.892,0.04,13.892,0.051,-268.528,-0.012,268.528,-179.998,6.693,0.032,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.251e5,0,6.269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.642e-5,NaN,NaN,NaN,NaN,6.76,57.995,1003.177,1115.652,0.5,0.267
54.814,267.646,-14.68,-0.05,14.68,0.054,-271.901,-0.012,271.901,-179.998,7.011,0.02,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.012,3.436e5,0,5.727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.306e-5,NaN,NaN,NaN,NaN,6.988,58.02,1003.431,1115.68,0.492,0.267
55.234,261.666,-13.855,0.061,13.855,0.066,-274.768,-0.012,274.768,-179.998,6.675,0.025,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.243e5,0,6.397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.65e-5,NaN,NaN,NaN,NaN,6.667,58.046,1003.682,1115.707,0.419,0.267
55.6,256.473,-14.499,-0.055,14.499,0.056,-277.19,-0.012,277.19,-179.998,6.549,0.011,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.012,3.394e5,0,5.697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.289e-5,NaN,NaN,NaN,NaN,6.518,58.067,1003.896,1115.731,0.366,0.267
55.997,250.804,-14.047,0.035,14.047,0.039,-279.834,-0.012,279.834,-179.998,6.761,0.017,28.61,-80.601,0.998,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.289e5,0,6.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.489e-5,NaN,NaN,NaN,NaN,6.783,58.085,1004.082,1115.751,0.397,0.267
56.497,243.668,-14.498,-0.028,14.498,0.029,-283.248,-0.012,283.248,-179.998,6.897,0.008,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.395e5,0,5.857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.375e-5,NaN,NaN,NaN,NaN,6.884,58.106,1004.284,1115.774,0.5,0.268
56.997,236.562,-13.926,0.036,13.926,0.04,-286.625,-0.012,286.625,-179.998,6.612,0.018,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.261e5,0,6.241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.562e-5,NaN,NaN,NaN,NaN,6.649,58.131,1004.539,1115.802,0.5,0.268
57.497,229.424,-14.628,-0.044,14.628,0.058,-289.78,-0.012,289.78,-179.998,6.006,0.038,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.012,3.426e5,0,5.767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3e-5,NaN,NaN,NaN,NaN,6.063,58.156,1004.793,1115.83,0.5,0.268
57.919,223.409,-13.882,0.055,13.882,0.064,-292.406,-0.012,292.406,-179.998,6.444,0.032,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.252e5,0,6.361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.426e-5,NaN,NaN,NaN,NaN,6.454,58.182,1005.049,1115.858,0.422,0.268
58.307,217.897,-14.507,-0.05,14.507,0.05,-294.9,-0.013,294.9,-179.998,6.402,0.003,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.012,3.399e5,0,5.724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.249e-5,NaN,NaN,NaN,NaN,6.396,58.203,1005.264,1115.881,0.388,0.268
58.746,211.646,-13.974,0.038,13.974,0.045,-297.636,-0.013,297.636,-179.998,6.061,0.024,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.275e5,0,6.255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.461e-5,NaN,NaN,NaN,NaN,6.065,58.223,1005.461,1115.903,0.439,0.269
59.166,205.673,-14.455,-0.036,14.456,0.064,-300.334,-0.013,300.334,-179.998,6.779,0.053,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.388e5,0,5.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.202e-5,NaN,NaN,NaN,NaN,6.833,58.245,1005.684,1115.928,0.42,0.269
59.664,198.605,-13.967,0.031,13.967,0.031,-303.697,-0.013,303.697,-179.998,6.745,0.002,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.274e5,0,6.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.522e-5,NaN,NaN,NaN,NaN,6.75,58.267,1005.898,1115.951,0.497,0.269
60.164,191.473,-14.563,-0.037,14.563,0.05,-306.934,-0.013,306.934,-179.998,6.203,0.034,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.414e5,0,5.806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.344e-5,NaN,NaN,NaN,NaN,6.257,58.292,1006.15,1115.979,0.5,0.269
60.618,185.011,-13.874,0.047,13.874,0.062,-309.888,-0.013,309.888,-179.998,6.796,0.041,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.253e5,0,6.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.441e-5,NaN,NaN,NaN,NaN,6.769,58.317,1006.405,1116.007,0.454,0.269
60.997,179.642,-14.476,-0.049,14.476,0.06,-312.382,-0.013,312.382,-179.998,6.373,0.035,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.012,3.395e5,0,5.732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.322e-5,NaN,NaN,NaN,NaN,6.289,58.34,1006.636,1116.033,0.379,0.27
61.316,175.086,-14.112,0.035,14.113,0.063,-314.497,-0.013,314.497,-179.998,6.904,0.052,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.31e5,0,6.248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.444e-5,NaN,NaN,NaN,NaN,7.098,58.359,1006.828,1116.054,0.319,0.27
61.737,169.09,-14.342,-0.017,14.342,0.018,-317.393,-0.013,317.393,-179.998,6.839,0.005,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.364e5,0,5.924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.429e-5,NaN,NaN,NaN,NaN,6.836,58.376,1006.991,1116.072,0.421,0.27
62.237,161.982,-14.093,0.015,14.093,0.016,-320.794,-0.013,320.794,-179.998,6.762,0.005,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.306e5,0,6.119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.495e-5,NaN,NaN,NaN,NaN,6.772,58.397,1007.205,1116.095,0.5,0.27
62.737,154.858,-14.402,-0.019,14.402,0.019,-324.179,-0.013,324.179,-179.998,6.778,9.72e-4,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.379e5,0,5.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.391e-5,NaN,NaN,NaN,NaN,6.777,58.422,1007.459,1116.123,0.5,0.271
63.231,147.863,-13.952,0.028,13.953,0.095,-327.168,-0.014,327.168,-179.998,5.337,0.091,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.274e5,0,6.221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.503e-5,NaN,NaN,NaN,NaN,5.506,58.448,1007.714,1116.151,0.493,0.271
63.533,143.59,-14.306,-0.036,14.309,0.072,-328.874,-0.014,328.874,-179.998,5.945,0.062,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.359e5,0,5.819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.056e-5,NaN,NaN,NaN,NaN,6.244,58.473,1007.964,1116.179,0.302,0.271
63.925,138.007,-14.166,0.011,14.166,0.011,-331.204,-0.014,331.204,-179.998,5.941,2.821e-4,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.325e5,0,6.093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.298e-5,NaN,NaN,NaN,NaN,5.942,58.488,1008.117,1116.196,0.392,0.271
64.425,130.9,-14.265,-0.006,14.265,0.067,-334.444,-0.014,334.444,-179.998,7.015,0.067,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.349e5,0,6.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.248e-5,NaN,NaN,NaN,NaN,6.895,58.508,1008.317,1116.218,0.5,0.271
64.925,123.791,-14.168,0.006,14.168,0.026,-337.851,-0.014,337.851,-179.998,6.613,0.025,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.327e5,0,6.064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.507e-5,NaN,NaN,NaN,NaN,6.661,58.533,1008.571,1116.246,0.5,0.271
65.425,116.679,-14.28,-0.007,14.281,0.037,-341.305,-0.014,341.305,-179.998,7.203,0.037,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.354e5,0,5.988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.386e-5,NaN,NaN,NaN,NaN,7.138,58.559,1008.825,1116.274,0.5,0.272
65.925,109.574,-14.139,0.009,14.139,0.033,-344.777,-0.014,344.777,-179.998,6.685,0.032,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.321e5,0,6.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.554e-5,NaN,NaN,NaN,NaN,6.748,58.584,1009.079,1116.302,0.5,0.272
66.425,102.459,-14.322,-0.011,14.322,0.012,-348.134,-0.014,348.134,-179.998,6.741,0.003,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.365e5,0,5.957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.391e-5,NaN,NaN,NaN,NaN,6.736,58.609,1009.333,1116.33,0.5,0.272
66.925,95.363,-14.062,0.016,14.062,0.059,-351.734,-0.014,351.734,-179.998,7.661,0.057,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.304e5,0,6.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.467e-5,NaN,NaN,NaN,NaN,7.549,58.635,1009.587,1116.358,0.5,0.272
67.29,90.187,-14.281,-0.019,14.282,0.08,-354.365,-0.014,354.365,-179.998,6.744,0.078,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.356e5,0,5.932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.586e-5,NaN,NaN,NaN,NaN,6.542,58.66,1009.841,1116.386,0.365,0.272
67.79,83.083,-14.132,0.009,14.132,0.021,-357.663,-0.014,357.663,-179.998,6.447,0.018,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.321e5,0,6.083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.453e-5,NaN,NaN,NaN,NaN,6.483,58.678,1010.026,1116.406,0.5,0.273
68.29,75.971,-14.318,-0.012,14.318,0.014,-360.854,-0.015,360.854,-179.998,6.318,0.008,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.366e5,0,5.956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.338e-5,NaN,NaN,NaN,NaN,6.333,58.704,1010.28,1116.434,0.5,0.273
68.79,68.88,-14.045,0.017,14.046,0.069,-363.743,-0.015,363.743,-179.998,5.239,0.067,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.302e5,0,6.142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.377e-5,NaN,NaN,NaN,NaN,5.373,58.729,1010.534,1116.462,0.5,0.273
69.163,63.605,-14.299,-0.021,14.3,0.068,-365.837,-0.015,365.837,-179.998,6.012,0.065,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.362e5,0,5.911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.073e-5,NaN,NaN,NaN,NaN,6.167,58.754,1010.788,1116.49,0.372,0.273
69.663,56.506,-14.095,0.013,14.095,0.027,-368.939,-0.015,368.939,-179.998,6.396,0.024,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.315e5,0,6.104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.309e-5,NaN,NaN,NaN,NaN,6.351,58.773,1010.976,1116.511,0.5,0.273
70.163,49.395,-14.353,-0.016,14.353,0.016,-372.123,-0.015,372.123,-179.998,6.341,0.003,28.61,-80.601,0.999,NaN,NaN,NaN,NaN,615.419,47.7,NaN,NaN,NaN,NaN,NaN,0.013,3.376e5,0,5.929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.314e-5,NaN,NaN,NaN,NaN,6.347,58.798,1011.23,1116.539,0.5,0.274
