Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (m),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers,Mach number,Reynolds number ,Thrust (N),Drag force (N),Drag coefficient,Axial drag coefficient,Friction drag coefficient,Pressure drag coefficient,Base drag coefficient,Normal force coefficient,Pitch moment coefficient,Yaw moment coefficient,Side force coefficient,Roll moment coefficient,Roll forcing coefficient,Roll damping coefficient,Pitch damping coefficient,Coriolis acceleration (G),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-8.536e-4,-0.171,-0.531,0.171,0.531,0,0,0,0,0,0,28.61,-80.6,0.999,91.718,0,0,0,732.765,249.879,2.402,0.022,NaN,30.711,NaN,0.005,1.337e5,3.363,-4.784e-7,0.856,-5.695e-5,0.462,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.794e-7,3,7.069,90,0,5.693,60,1013.25,1117.866,0.01,9.858e-4
0.02,6.521e-4,0.13,0.406,0.13,0.406,0,0,0,0,0,0,28.61,-80.6,0.999,88.693,0,0,0,732.644,249.758,2.402,0.022,NaN,30.709,NaN,0.005,1.342e5,10.088,2.132e-7,0.855,2.517e-5,0.461,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.191e-7,3,7.069,90,0,5.718,60,1013.25,1117.866,0.01,0.001
0.03,0.004,0.562,1.342,0.562,1.342,0,0,0,0,0,0,28.61,-80.6,0.999,84.409,0,0,0,732.523,249.638,2.402,0.022,NaN,30.707,NaN,0.005,1.354e5,16.813,1.622e-5,0.854,0.002,0.46,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.237e-6,3,7.069,90,0,5.743,60,1013.25,1117.866,0.01,0.002
0.04,0.013,1.295,2.279,1.295,2.279,0,0,0,0,0,0,28.61,-80.6,0.999,77.343,0,0,0,732.403,249.517,2.402,0.022,NaN,30.705,NaN,0.005,1.387e5,23.538,1.817e-4,0.851,0.02,0.457,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.154e-6,3,7.069,90,0,5.768,60,1013.25,1117.866,0.01,0.002
0.05,0.032,2.33,3.216,2.33,3.216,0,0,0,0,0,0,28.61,-80.6,0.999,68.091,0,0,0,732.282,249.396,2.401,0.022,NaN,30.703,NaN,0.006,1.465e5,30.263,9.297e-4,0.845,0.092,0.451,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.271e-6,3,7.069,90,0,5.792,60,1013.249,1117.866,0.01,0.002
0.06,0.062,3.666,4.153,3.666,4.153,0,0,0,0,0,0,28.61,-80.6,0.999,58.003,0,0,0,732.161,249.275,2.401,0.022,NaN,30.701,NaN,0.006,1.624e5,36.989,0.003,0.834,0.245,0.44,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.459e-5,3,7.069,90,0,5.867,60,1013.248,1117.866,0.01,0.003
# Event LIFTOFF occurred at t=0.07 seconds
0.07,0.106,5.303,5.09,5.303,5.09,0,0,0,0,0,0,28.61,-80.6,0.999,48.248,0,0,0,732.04,249.155,2.401,0.022,NaN,30.699,NaN,0.007,1.869e5,43.714,0.007,0.82,0.455,0.426,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.11e-5,3,7.069,90,0,5.941,60,1013.246,1117.866,0.01,0.003
0.08,0.169,7.237,6.011,7.237,6.011,0,0,0,0,0,0,28.61,-80.6,0.999,39.736,0,0,0,731.81,248.924,2.4,0.022,NaN,30.696,NaN,0.008,2.209e5,50.319,0.015,0.803,0.659,0.409,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.88e-5,3,7.069,90,0,6.016,59.999,1013.244,1117.865,0.01,0.003
0.09,0.252,9.435,6.833,9.435,6.833,0,0,0,0,0,0,28.61,-80.6,0.999,32.842,0,0,0,731.47,248.585,2.4,0.022,NaN,30.69,NaN,0.01,2.636e5,56.204,0.026,0.787,0.811,0.393,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.755e-5,3,7.069,90,0,6.09,59.999,1013.241,1117.865,0.01,0.003
0.1,0.359,11.892,7.639,11.892,7.639,0,0,0,0,0,0,28.61,-80.6,0.999,27.401,0,0,0,731.131,248.245,2.399,0.022,NaN,30.685,NaN,0.012,3.144e5,61.97,0.042,0.771,0.903,0.377,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.732e-5,3,7.069,90,0,6.165,59.999,1013.237,1117.865,0.01,0.004
0.11,0.492,14.609,8.444,14.609,8.444,0,0,0,0,0,0,28.61,-80.6,0.999,22.961,0,0,0,730.791,247.906,2.398,0.022,NaN,30.68,NaN,0.014,3.724e5,67.735,0.062,0.757,0.95,0.363,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.814e-5,3,7.069,90,0,6.189,59.998,1013.232,1117.864,0.01,0.004
0.12,0.653,17.585,9.25,17.585,9.25,0,0,0,0,0,0,28.61,-80.6,0.999,19.462,0,0,0,730.452,247.566,2.398,0.022,NaN,30.674,NaN,0.017,4.377e5,73.501,0.087,0.745,0.962,0.351,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.998e-5,3,7.069,90,0,6.214,59.998,1013.227,1117.863,0.01,0.004
0.13,0.845,20.82,10.056,20.82,10.056,0,0,0,0,0,0,28.61,-80.6,0.999,16.681,0,0,0,730.112,247.226,2.397,0.022,NaN,30.669,NaN,0.019,5.101e5,79.266,0.117,0.734,0.953,0.34,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.285e-5,3,7.069,90,0,6.239,59.997,1013.22,1117.863,0.01,0.004
0.14,1.07,24.315,10.862,24.315,10.862,0,0,0,0,0,0,28.61,-80.6,0.999,14.445,0,0,0,729.772,246.887,2.396,0.022,NaN,30.664,NaN,0.022,5.893e5,85.032,0.151,0.723,0.927,0.329,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.676e-5,3,7.069,90,0,6.264,59.996,1013.212,1117.862,0.01,0.004
0.15,1.332,28.066,11.659,28.066,11.659,0,0,0,0,0,0,28.61,-80.6,0.999,12.629,0,0,0,729.358,246.472,2.395,0.022,NaN,30.657,NaN,0.026,6.75e5,90.724,0.191,0.714,0.893,0.32,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.117e-4,3,7.069,90,0,6.288,59.995,1013.202,1117.861,0.01,0.005
0.16,1.633,32.042,12.362,32.042,12.362,0,0,0,0,0,0,28.61,-80.6,0.999,11.163,0,0,0,728.831,245.945,2.394,0.022,NaN,30.649,NaN,0.029,7.665e5,95.732,0.238,0.706,0.86,0.312,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.275e-4,3,7.069,90,0,6.323,59.994,1013.192,1117.86,0.01,0.005
0.17,1.974,36.238,13.042,36.238,13.042,0,0,0,0,0,0,28.61,-80.6,0.999,9.951,0,0,0,728.304,245.418,2.393,0.022,NaN,30.64,NaN,0.033,8.635e5,100.573,0.291,0.699,0.83,0.305,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.442e-4,3,7.069,90,0,6.358,59.993,1013.18,1117.858,0.01,0.005
0.179,2.32,40.227,13.69,40.227,13.69,0,0,0,0,0,0,28.61,-80.6,0.999,9.025,0,0,0,727.827,244.941,2.392,0.022,NaN,30.633,NaN,0.036,9.559e5,105.186,0.348,0.696,0.81,0.302,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.601e-4,3,7.069,90,0,6.389,59.992,1013.167,1117.857,0.009,0.006
0.187,2.664,43.974,14.274,43.974,14.274,0,0,0,0,0,0,28.61,-80.6,0.999,8.304,0,0,0,727.397,244.512,2.391,0.022,NaN,30.626,NaN,0.04,1.043e6,109.352,0.407,0.696,0.797,0.302,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.75e-4,3,7.069,90,0,6.418,59.99,1013.155,1117.855,0.008,0.006
0.195,3.005,47.529,14.804,47.529,14.804,0,0,0,0,0,0,28.61,-80.6,0.999,7.721,0,0,0,727.004,244.119,2.39,0.022,NaN,30.619,NaN,0.043,1.126e6,113.132,0.468,0.696,0.786,0.302,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.891e-4,3,7.069,90,0,6.444,59.989,1013.143,1117.854,0.007,0.006
# Event LAUNCHROD occurred at t=0.202 seconds
0.202,3.345,50.926,15.291,50.926,15.291,0,0,0,0,0,0,28.61,-80.6,0.999,7.238,0,0,0,726.641,243.755,2.39,0.022,NaN,30.614,NaN,0.046,1.205e6,116.61,0.53,0.696,0.777,0.302,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.027e-4,3,7.069,90,0,6.468,59.988,1013.131,1117.853,0.007,0.006
0.212,3.899,56.208,15.876,56.208,15.876,-2.476e-4,0,2.476e-4,-180,0.048,0.151,28.61,-80.6,0.999,6.551,0,4.042e-4,2.168e-7,726.095,243.209,2.388,0.022,31.619,30.605,0.338,0.051,1.328e6,120.787,0.634,0.696,0.765,0.301,0.274,0.12,1.295,0.437,-1.682e-4,0,0,0,0,9.363e-6,2.237e-4,3,7.069,89.999,-0.034,6.505,59.986,1013.111,1117.851,0.01,0.006
0.227,4.837,64.564,16.748,64.564,16.749,-0.002,0,0.002,-180,0.128,0.167,28.61,-80.6,0.999,5.684,0,0.001,4.773e-7,725.201,242.315,2.387,0.022,31.81,30.59,0.407,0.058,1.523e6,127.027,0.819,0.696,0.751,0.301,0.274,0.12,1.095,0.445,-2.314e-4,0,0,0,0,6.253e-5,2.57e-4,3,7.069,89.995,-0.018,6.561,59.983,1013.077,1117.847,0.016,0.007
0.251,6.498,78.008,17.972,78.009,17.973,-0.006,-1.696e-8,0.006,-180,0.261,0.187,28.61,-80.6,0.999,4.653,0,0.003,7.398e-7,723.578,240.692,2.383,0.022,32.053,30.564,0.496,0.07,1.837e6,135.782,1.167,0.697,0.735,0.301,0.274,0.121,0.868,0.43,-2.098e-4,0,0,0,0,2.412e-4,3.106e-4,3,7.069,89.978,-0.009,6.642,59.977,1013.018,1117.84,0.023,0.007
0.286,9.61,100.175,19.758,100.176,19.759,-0.019,-1.102e-7,0.019,-180,0.481,0.2,28.61,-80.6,0.999,3.448,0,0.006,8.389e-7,721.143,238.258,2.378,0.022,32.359,30.525,0.611,0.09,2.357e6,148.666,1.879,0.697,0.719,0.301,0.275,0.121,0.619,0.377,-3.445e-4,0,0,0,0,7.406e-4,3.989e-4,3,7.069,89.922,-0.003,6.659,59.965,1012.907,1117.828,0.035,0.007
0.336,15.507,135.802,22.164,135.804,22.165,-0.051,-5.225e-7,0.051,-179.999,0.789,0.174,28.61,-80.6,0.999,2.358,7.216e-9,0.014,1.321e-7,717.133,234.247,2.369,0.022,32.661,30.459,0.734,0.122,3.192e6,166.289,3.4,0.699,0.71,0.301,0.276,0.122,0.409,0.298,-2.87e-4,0,0,0,0,0.002,5.408e-4,3,7.069,89.745,-0.002,6.997,59.944,1012.696,1117.804,0.05,0.007
0.386,23.289,175.423,24.544,175.425,24.544,-0.095,-1.183e-6,0.095,-179.999,0.949,0.002,28.61,-80.6,0.999,1.359,-1.705e-8,0.023,4.917e-6,712.783,229.897,2.36,0.021,32.961,30.387,0.858,0.157,4.118e6,184.15,5.617,0.701,0.704,0.301,0.277,0.123,0.228,0.193,-1.35e-4,0,0,0,0,0.003,6.981e-4,3,7.069,89.415,-0.003,6.911,59.916,1012.419,1117.774,0.05,0.007
0.436,33.137,218.43,26.596,218.431,26.598,-0.138,-3.713e-6,0.138,-179.998,0.652,0.371,28.61,-80.6,0.999,0.505,-1.025e-8,0.031,-2.891e-5,707.995,225.11,2.349,0.021,33.238,30.307,0.977,0.196,5.125e6,200.3,8.697,0.703,0.704,0.3,0.278,0.125,0.082,0.077,-2.071e-4,0,0,0,0,0.004,8.693e-4,3,7.069,88.922,0.003,6.668,59.881,1012.068,1117.734,0.05,0.008
0.486,45.205,264.193,28.246,264.193,28.259,-0.147,-2.232e-6,0.147,-179.999,0.393,0.887,28.61,-80.6,0.999,0.102,2.602e-8,-0.033,-1.012e-4,702.826,219.94,2.337,0.021,33.382,30.219,1.054,0.236,6.197e6,214.428,12.775,0.707,0.707,0.3,0.28,0.127,0.016,0.02,-4.884e-4,0,0,0,0,-0.003,0.001,3,7.069,88.333,0.012,6.76,59.838,1011.637,1117.687,0.05,0.01
0.536,59.609,311.813,29.325,311.822,29.361,-0.082,3.142e-5,0.082,179.978,2.345,1.449,28.61,-80.6,0.999,0.491,-1.643e-7,-0.026,4.375e-5,697.483,214.597,2.325,0.021,33.267,30.127,1.047,0.279,7.312e6,225.557,17.916,0.711,0.712,0.299,0.282,0.13,0.08,0.085,-4.303e-4,0,0,0,0,-0.001,0.001,3,7.069,87.795,0.03,6.881,59.786,1011.123,1117.629,0.05,0.01
0.576,73.005,351.184,29.994,351.213,30.048,0.055,1.219e-4,0.055,0.126,4.531,1.792,28.61,-80.6,0.999,0.601,1.475e-7,-0.011,-6.398e-5,692.946,210.06,2.315,0.021,33.244,30.048,1.065,0.314,8.233e6,233.803,22.863,0.716,0.717,0.299,0.284,0.133,0.099,0.105,4.601e-4,0,0,0,0,-1.883e-4,0.001,3,7.069,87.529,0.04,6.877,59.738,1010.645,1117.576,0.04,0.011
0.602,82.569,377.048,30.386,377.098,30.443,0.195,2.323e-4,0.195,0.068,6.109,1.862,28.61,-80.6,0.999,0.544,0,8.356e-4,1.808e-5,689.96,207.075,2.308,0.021,33.272,29.995,1.092,0.338,8.838e6,239.163,26.46,0.719,0.72,0.298,0.286,0.135,0.089,0.097,5.901e-5,0,0,0,0,9.002e-7,0.002,3,7.069,87.483,0.036,6.881,59.703,1010.304,1117.538,0.026,0.011
0.627,92.229,401.557,30.498,401.628,30.546,0.365,3.697e-4,0.365,0.058,7.556,1.717,28.61,-80.6,0.999,0.361,5.319e-8,0.011,-8.263e-5,687.053,204.167,2.301,0.021,33.341,29.943,1.133,0.36,9.411e6,242.641,30.128,0.722,0.722,0.298,0.288,0.137,0.059,0.066,1.593e-4,0,0,0,0,1.331e-4,0.002,3,7.069,87.538,0.029,7.191,59.669,1009.959,1117.5,0.025,0.011
0.659,105.574,433.177,30.459,433.274,30.489,0.633,5.756e-4,0.633,0.052,9.155,1.374,28.61,-80.6,0.999,0.1,3.412e-8,0.018,-2.466e-4,683.306,200.42,2.292,0.021,33.44,29.876,1.188,0.388,1.015e7,246.244,35.252,0.726,0.726,0.297,0.29,0.14,0.016,0.018,4.145e-4,0,0,0,0,3.109e-4,0.002,3,7.069,87.713,0.009,7.443,59.621,1009.483,1117.447,0.032,0.012
0.707,127.479,480.141,29.935,480.263,29.948,1.115,8.303e-4,1.115,0.043,10.835,0.874,28.61,-80.6,0.999,0.144,5.968e-8,-0.014,-9.687e-5,677.591,194.705,2.278,0.021,33.447,29.771,1.225,0.43,1.124e7,249.337,43.706,0.733,0.734,0.296,0.293,0.144,0.023,0.029,2.598e-4,0,0,0,0,-1.572e-4,0.002,3,7.069,88.018,-0.041,7.275,59.542,1008.701,1117.36,0.048,0.012
0.749,148.41,519.905,29.036,520.038,29.044,1.589,8.798e-4,1.589,0.032,11.749,0.67,28.61,-80.6,0.999,0.188,-1.021e-7,-6.49e-4,4.015e-6,672.587,189.702,2.266,0.021,33.452,29.678,1.258,0.466,1.217e7,249.813,51.67,0.74,0.74,0.295,0.297,0.148,0.031,0.039,-3.732e-4,0,0,0,0,-2.856e-7,0.002,3,7.069,88.128,-0.04,7.159,59.467,1007.955,1117.277,0.042,0.012
0.778,163.949,546.751,28.274,546.892,28.285,1.94,8.201e-4,1.94,0.024,12.399,0.803,28.61,-80.6,0.999,0.094,3.541e-8,0.009,-1.458e-5,669.112,186.226,2.257,0.021,33.498,29.613,1.295,0.49,1.279e7,249.621,57.475,0.745,0.745,0.294,0.299,0.151,0.015,0.02,-4.823e-4,0,0,0,0,4.551e-5,0.002,3,7.069,88.073,-0.027,6.875,59.411,1007.4,1117.215,0.029,0.012
0.822,188.694,585.49,26.959,585.654,26.981,2.511,6.74e-4,2.511,0.015,13.829,1.097,28.61,-80.6,0.999,0.043,2.375e-7,-0.006,-2.539e-4,663.905,181.02,2.244,0.021,33.539,29.514,1.342,0.524,1.369e7,248.664,66.505,0.752,0.752,0.293,0.303,0.156,0.007,0.009,-2.435e-4,0,0,0,0,-1.961e-5,0.002,3,7.069,87.92,0.012,6.682,59.322,1006.517,1117.117,0.044,0.013
0.872,219.015,626.952,25.069,627.149,25.091,3.252,6.463e-4,3.252,0.011,15.747,1.049,28.61,-80.6,0.999,0.042,-1.838e-7,0.001,-1.915e-4,658.054,175.169,2.229,0.021,33.572,29.401,1.39,0.562,1.465e7,245.403,77.044,0.761,0.761,0.292,0.307,0.161,0.007,0.01,4.826e-4,0,0,0,0,1.012e-6,0.002,3,7.069,87.88,-0.006,6.506,59.213,1005.435,1116.997,0.05,0.013
0.914,246.358,659.377,23.126,659.599,23.139,3.952,5.808e-4,3.952,0.008,17.103,0.773,28.61,-80.6,0.999,0.024,-4.587e-8,-0.007,-4.057e-4,653.165,170.279,2.217,0.021,33.608,29.305,1.435,0.591,1.54e7,240.545,85.94,0.768,0.768,0.291,0.311,0.165,0.004,0.006,2.032e-4,0,0,0,0,-1.917e-5,0.003,3,7.069,87.991,-0.042,6.309,59.115,1004.46,1116.888,0.043,0.013
0.964,280.196,693.727,20.636,693.961,20.651,4.83,3.177e-4,4.83,0.004,18.029,0.779,28.61,-80.6,0.999,0.004,-5.63e-7,-0.004,-3.77e-4,647.546,164.66,2.202,0.021,33.651,29.192,1.486,0.622,1.619e7,233.464,95.99,0.775,0.775,0.29,0.315,0.17,5.998e-4,7.028e-4,4.719e-4,0,0,0,0,-7.21e-6,0.003,3,7.069,88.031,0.03,6.66,58.993,1003.252,1116.754,0.05,0.013
1.004,308.488,717.906,18.245,718.151,18.26,5.566,2.325e-4,5.566,0.002,18.783,0.742,28.61,-80.6,0.998,0.013,-1.965e-7,-0.006,-3.358e-4,643.306,160.42,2.19,0.021,33.677,29.106,1.523,0.643,1.674e7,224.983,103.494,0.781,0.781,0.289,0.318,0.174,0.002,0.004,-4.912e-4,0,0,0,0,-1.166e-5,0.003,3,7.069,87.93,0.005,7.054,58.891,1002.243,1116.641,0.04,0.013
1.054,345.037,743.664,15.401,743.933,15.407,6.538,2.103e-4,6.538,0.002,20.026,0.424,28.61,-80.6,0.998,0.042,2.905e-7,-0.005,-3.266e-4,638.113,155.227,2.176,0.021,33.699,28.999,1.567,0.666,1.733e7,214.472,111.817,0.787,0.787,0.288,0.321,0.178,0.007,0.011,3.29e-4,0,0,0,0,-7.012e-6,0.003,3,7.069,87.882,-0.026,6.974,58.76,1000.939,1116.496,0.05,0.014
1.104,382.736,764.05,12.178,764.335,12.185,7.561,4.964e-5,7.561,3.761e-4,20.841,0.427,28.61,-80.6,0.998,0.011,-4.555e-7,0.004,0.001,633.347,150.461,2.163,0.021,33.736,28.9,1.612,0.685,1.779e7,200.579,118.697,0.793,0.793,0.287,0.324,0.181,0.002,0.003,1.965e-4,0,0,0,0,5.086e-6,0.003,3,7.069,87.929,-0.017,6.914,58.625,999.593,1116.347,0.05,0.014
1.154,421.315,778.916,8.864,779.211,8.871,8.618,-1.541e-4,8.618,-0.001,21.419,0.36,28.61,-80.6,0.998,0.004,-5.693e-7,0.002,0.003,628.976,146.09,2.151,0.021,33.759,28.807,1.651,0.698,1.812e7,184.693,123.821,0.796,0.796,0.287,0.326,0.183,7.33e-4,0.001,4.679e-4,0,0,0,0,1.373e-6,0.003,3,7.069,87.957,0.049,6.389,58.486,998.217,1116.194,0.05,0.014
1.204,460.494,788.118,5.483,788.419,5.489,9.698,-7.702e-6,9.698,-4.55e-5,21.786,0.246,28.61,-80.6,0.998,0.005,-2.189e-7,0.001,-8.421e-4,624.92,142.034,2.14,0.021,33.772,28.719,1.684,0.707,1.831e7,166.759,127.006,0.799,0.799,0.287,0.328,0.185,8.396e-4,0.001,1.452e-4,0,0,0,0,6.232e-7,0.003,3,7.069,87.98,-0.054,6.049,58.345,996.819,1116.038,0.05,0.014
1.254,499.983,791.399,1.962,791.703,1.965,10.791,-3.022e-4,10.791,-0.002,21.939,0.122,28.61,-80.6,0.998,0.008,-4.629e-7,8.434e-4,7.439e-5,621.454,138.568,2.13,0.021,33.776,28.644,1.711,0.71,1.837e7,146.115,128.06,0.8,0.8,0.286,0.328,0.185,0.001,0.002,-2.984e-4,0,0,0,0,2.082e-7,0.003,3,7.069,87.995,-0.019,5.783,58.203,995.409,1115.881,0.05,0.015
1.304,539.486,788.743,-1.563,789.046,1.563,11.886,-6.602e-4,11.886,-0.003,21.872,0.034,28.61,-80.6,0.998,0.006,-2.463e-7,-6.13e-4,-7.854e-4,618.585,135.7,2.121,0.021,33.773,28.581,1.731,0.707,1.829e7,123.519,126.946,0.799,0.799,0.286,0.328,0.185,9.172e-4,0.001,-1.837e-6,0,0,0,0,-1.107e-7,0.003,3,7.069,88.001,0.02,5.701,58.061,994,1115.724,0.05,0.015
1.354,578.707,780.229,-5.041,780.528,5.043,12.972,-6.28e-4,12.972,-0.003,21.602,0.106,28.61,-80.6,0.998,0.01,-4.417e-7,-0.001,3.491e-4,616.086,133.2,2.114,0.021,33.759,28.525,1.745,0.7,1.808e7,99.301,123.734,0.797,0.797,0.287,0.326,0.184,0.002,0.002,3.57e-4,0,0,0,0,-4.821e-7,0.003,3,7.069,87.985,0.047,5.845,57.92,992.6,1115.569,0.05,0.015
1.404,617.353,765.832,-8.534,766.125,8.539,14.042,-4.166e-4,14.042,-0.002,21.177,0.302,28.61,-80.6,0.998,0.009,-3.107e-7,-0.001,-3.814e-4,614.423,131.537,2.109,0.021,33.74,28.488,1.751,0.687,1.773e7,73.078,118.517,0.793,0.793,0.287,0.324,0.181,0.001,0.003,1.079e-4,0,0,0,0,-5.669e-7,0.003,3,7.069,87.985,-0.017,5.716,57.781,991.221,1115.415,0.05,0.015
1.454,655.128,745.504,-12.067,745.787,12.074,15.085,-4.054e-4,15.085,-0.002,20.536,0.418,28.61,-80.6,0.998,0.008,-3.419e-7,-0.001,8.247e-5,613.417,130.531,2.106,0.021,33.714,28.466,1.749,0.669,1.724e7,44.822,111.453,0.788,0.788,0.288,0.322,0.178,0.001,0.003,1.743e-4,0,0,0,0,-5.759e-7,0.003,3,7.069,88.007,0.036,5.426,57.646,989.873,1115.265,0.05,0.015
# Event BURNOUT occurred at t=1.5 seconds
1.5,688.586,721.4,-15.779,721.669,15.787,16.002,-1.9e-4,16.002,-6.803e-4,19.698,0.491,28.61,-80.6,0.998,0.009,-1.329e-7,-0.001,-5.915e-4,612.886,130,2.105,0.021,33.683,28.454,1.743,0.647,1.667e7,14.592,103.478,0.782,0.782,0.289,0.319,0.174,0.001,0.003,-4.846e-4,0,0,0,0,-4.954e-7,0.003,3,7.069,88.006,0.008,5.544,57.525,988.679,1115.133,0.046,0.016
1.55,723.944,693.318,-16.739,693.573,16.748,16.964,1.446e-5,16.964,4.882e-5,18.8,0.566,28.61,-80.6,0.998,0.006,-3.78e-7,-0.002,0.001,612.886,130,2.105,0.021,33.651,28.454,1.732,0.622,1.601e7,0,94.664,0.775,0.775,0.29,0.315,0.17,0.001,0.002,4.91e-4,0,0,0,0,-1.683e-6,0.003,3,7.069,88.001,0.025,5.274,57.398,987.418,1114.992,0.05,0.016
1.6,757.954,667.442,-15.462,667.681,15.47,17.881,2.958e-4,17.881,9.48e-4,17.865,0.507,28.61,-80.6,0.998,0.004,-1.621e-7,-0.005,-0.004,612.886,130,2.105,0.021,33.624,28.454,1.723,0.599,1.54e7,0,86.983,0.77,0.77,0.291,0.312,0.167,7.238e-4,8.369e-4,4.647e-4,0,0,0,0,-1.168e-5,0.003,3,7.069,87.98,0.058,5.931,57.276,986.204,1114.857,0.05,0.016
1.65,790.72,643.49,-14.338,643.716,14.346,18.754,8.302e-4,18.754,0.003,17.089,0.472,28.61,-80.6,0.998,0.004,-2.954e-7,0.001,-0.001,612.886,130,2.105,0.021,33.601,28.454,1.716,0.578,1.484e7,0,80.226,0.764,0.764,0.292,0.309,0.163,6.883e-4,9.713e-4,2.125e-4,0,0,0,0,4.58e-7,0.003,3,7.069,87.928,-0.019,5.975,57.158,985.035,1114.727,0.05,0.016
1.7,822.332,621.237,-13.343,621.454,13.351,19.591,0.001,19.591,0.003,16.398,0.47,28.61,-80.6,0.998,0.009,-4.026e-7,1.042e-4,-9.188e-6,612.886,130,2.105,0.021,33.579,28.454,1.708,0.558,1.431e7,0,74.246,0.76,0.76,0.292,0.307,0.16,0.001,0.003,-4.688e-5,0,0,0,0,5.157e-9,0.002,3,7.069,87.928,-0.052,6.032,57.045,983.907,1114.602,0.05,0.016
1.75,852.869,600.499,-12.459,600.702,12.466,20.392,0.001,20.392,0.003,15.622,0.435,28.61,-80.6,0.998,0.005,-4.864e-7,0.003,-0.002,612.886,130,2.105,0.021,33.564,28.454,1.703,0.539,1.383e7,0,68.929,0.755,0.755,0.293,0.305,0.158,8.367e-4,0.002,6.637e-5,0,0,0,0,5.603e-6,0.002,3,7.069,87.914,0.047,6.548,56.935,982.817,1114.48,0.05,0.017
1.8,882.404,581.105,-11.668,581.297,11.675,21.155,0.001,21.155,0.003,14.918,0.384,28.61,-80.6,0.998,0.009,-8.587e-7,-0.003,2.108e-4,612.886,130,2.105,0.021,33.548,28.454,1.698,0.522,1.337e7,0,64.17,0.752,0.752,0.293,0.303,0.155,0.002,0.003,-1.841e-4,0,0,0,0,-4.132e-6,0.002,3,7.069,87.842,0.086,6.923,56.829,981.764,1114.363,0.05,0.017
1.85,911,562.915,-10.956,563.098,10.962,21.887,0.002,21.887,0.004,14.374,0.359,28.61,-80.6,0.998,0.01,-5.681e-7,4.966e-4,1.753e-4,612.886,130,2.105,0.021,33.536,28.454,1.694,0.506,1.294e7,0,59.889,0.748,0.748,0.294,0.301,0.153,0.002,0.003,-3.573e-4,0,0,0,0,1.426e-7,0.002,3,7.069,87.799,0.046,6.952,56.726,980.743,1114.25,0.05,0.017
1.9,938.714,545.815,-10.312,545.989,10.319,22.591,0.002,22.591,0.006,13.795,0.381,28.61,-80.6,0.998,0.011,-5.213e-7,0.001,2.672e-4,612.886,130,2.105,0.021,33.526,28.454,1.691,0.49,1.254e7,0,56.025,0.745,0.745,0.294,0.299,0.151,0.002,0.003,-1.536e-4,0,0,0,0,7.234e-7,0.002,3,7.069,87.81,0.012,7.228,56.626,979.754,1114.14,0.05,0.017
